和风天气中国城市列表 v1.2

城市/地区编码	英文	中文	国家代码	国家英文	国家中文	省英文	省中文	所属上级市英文	所属上级市中文	纬度	经度
CN101070404	zhangdang	章党	CN	China	中国	liaoning	辽宁	fushun	抚顺	41.55	124.05
CN101070501	benxi	本溪	CN	China	中国	liaoning	辽宁	benxi	本溪	41.302	123.765
CN101070502	benxixian	本溪县	CN	China	中国	liaoning	辽宁	benxi	本溪	41.18	124.17
CN101070504	huanren	桓仁	CN	China	中国	liaoning	辽宁	benxi	本溪	41.16	125.21
CN101070601	dandong	丹东	CN	China	中国	liaoning	辽宁	dandong	丹东	40.11	124.357
CN101070602	fengcheng	凤城	CN	China	中国	liaoning	辽宁	dandong	丹东	40.452	124.067
CN101070603	kuandian	宽甸	CN	China	中国	liaoning	辽宁	dandong	丹东	40.43	124.47
CN101070604	donggang	东港	CN	China	中国	liaoning	辽宁	dandong	丹东	39.99	123.861
CN101070701	jinzhou	锦州	CN	China	中国	liaoning	辽宁	jinzhou	锦州	41.116	121.144
CN101070702	linghai	凌海	CN	China	中国	liaoning	辽宁	jinzhou	锦州	41.19	121.22
CN101070704	yixian	义县	CN	China	中国	liaoning	辽宁	jinzhou	锦州	41.31	121.14
CN101070705	heishan	黑山	CN	China	中国	liaoning	辽宁	jinzhou	锦州	41.799	122.198
CN101070706	beizhen	北镇	CN	China	中国	liaoning	辽宁	jinzhou	锦州	41.35	121.46
CN101070801	yingkou	营口	CN	China	中国	liaoning	辽宁	yingkou	营口	40.686	122.278
CN101070802	dashiqiao	大石桥	CN	China	中国	liaoning	辽宁	yingkou	营口	40.37	122.29
CN101070803	gaizhou	盖州	CN	China	中国	liaoning	辽宁	yingkou	营口	40.25	122.21
CN101070901	fuxin	阜新	CN	China	中国	liaoning	辽宁	fuxin	阜新	42.019	121.647
CN101070902	zhangwu	彰武	CN	China	中国	liaoning	辽宁	fuxin	阜新	42.489	122.424
CN101071001	liaoyang	辽阳	CN	China	中国	liaoning	辽宁	liaoyang	辽阳	41.266	123.171
CN101071002	liaoyangxian	辽阳县	CN	China	中国	liaoning	辽宁	liaoyang	辽阳	41.12	123.04
CN101071003	dengta	灯塔	CN	China	中国	liaoning	辽宁	liaoyang	辽阳	41.415	123.278
CN101071004	gongchangling	弓长岭	CN	China	中国	liaoning	辽宁	liaoyang	辽阳	41.148	123.438
